,spa,fre
1445,ɾebeɾendo,ʁeveʁɑ̃
1446,ɾebeɾsible,ʁevɛʁsibl
1447,ɾebolusionaɾjas,ʁevolysjonɛʁ
1448,ɾebolusiones,ʁevolysjɔ̃
1449,ɾebolusion,ʁevolysjɔ̃
1450,ɾikos,ʁiʃ
1451,ɾixiðes,ʁiʒidite
1452,ɾiɣoɾ,ʁiɡɥœʁ
1453,ɾiɣwɾosa,ʁiɡuʁœz
1454,ɾitos,ʁit
1455,ɾitwales,ʁitɥɛl
1456,ɾibaliðaðes,ʁivalite
1457,ɾiɲones,ʁɛ̃
1458,ɾomantikos,ʁomɑ̃tik
1459,ɾwina,ʁɥin
1460,ɾwinas,ʁɥin
1461,ɾumana,ʁumɛn
1462,ɾumano,ʁumɛ̃
1463,ɾumanos,ʁumɛ̃
1464,ɾumoɾ,ʁymœʁ
1465,ɾusas,ʁys
1466,ɾutina,ʁutin
1467,ɾapiða,ʁapid
1468,ɾixiða,ʁiʒid
1469,sabotaxe,sabotaʒ
1470,sakɾifikaɾ,sakʁifje
1471,sakɾifisios,sakʁifis
1472,salaɾjo,salɛʁ
1473,salas,sal
1474,salbaxes,sovaʒ
1475,sansion,sɑ̃ksjɔ̃
1476,sanɣineo,sɑ̃ɡɛ̃
1477,sanitaɾjas,sanitɛʁ
1478,santos,sɛ̃
1479,santwaɾjo,sɑ̃ktɥɛʁ
1480,saɾxento,sɛʁʒɑ̃
1481,satuɾasion,satyʁasjɔ̃
1482,satelite,satɛlit
1483,satelites,satɛlit
1484,seksiones,sɛksjɔ̃
1485,sesesjon,sesɛsjɔ̃
1486,sekɾetaɾja,səkʁetaʁja
1487,sekɾeto,səkʁɛ
1488,sektoɾ,sɛktœʁ
1489,sektoɾes,sɛktœʁ
1490,sekundaɾja,səgɔ̃dɛʁ
1491,sekundaɾjas,səgɔ̃dɛʁ
1492,seɣmento,sɛɡmɑ̃
1493,seleksiones,selɛksjɔ̃
1494,selektibo,selɛktif
1495,seminaɾjos,seminɛʁ
1496,sensibilisasion,sɑ̃sibilizasjɔ̃
1497,sepaɾasion,sepaʁasjɔ̃
1498,septentɾjonal,sɛptɑ̃tʁijonal
1499,septjembɾe,sɛptɑ̃bʁ
1500,seɾbja,sɛʁb
1501,seɾpjente,sɛʁpɑ̃
1502,seɾbiðumbɾe,sɛʁvityd
1503,sesjones,sɛsjɔ̃
1504,siðeɾuɾxia,sideʁyʁʒi
1505,siɣnifika,siɲifi
1506,silensiosa,silɑ̃sjœz
1507,simplisiðað,sɛ̃plisite
1508,simplifikasion,sɛ̃plifikasjɔ̃
1509,simplifikaðo,sɛ̃plifje
1510,simposjo,sɛ̃posjɔm
1511,simulasiones,simylasjɔ̃
1512,simulasion,simylasjɔ̃
1513,simultanea,simyltane
1514,simultaneo,simyltane
1515,sinaɣoɣa,sinaɡɔɡ
1516,sinkɾonisasion,sɛ̃kʁonizasjɔ̃
1517,sindikal,sɛ̃dikal
1518,sindikato,sɛ̃dika
1519,sindikatos,sɛ̃dika
1520,sjonismo,sjonism
1521,sjonista,sjonist
1522,sitjos,sit
1523,sitwaðos,sitɥe
1524,sobeɾanos,suvəʁɛ̃
1525,sosial,sosjal
1526,sosialdemokɾata,sosjal-demokʁat
1527,sosialdemokɾatas,sosjo-demokʁat
1528,sosialmente,sosjaləmɑ̃
1529,sosioloɣos,sosjolɔɡ
1530,soðjo,sodjɔm
1531,soldaðos,sɔlda
1532,solitaɾja,solitɛʁ
1533,solusion,solysjɔ̃
1534,sobjetikas,sovjetik
1535,subðibisjones,sybdivizjɔ̃
1536,submaɾino,su-maʁɛ̃
1537,suboɾðinaðos,sybɔʁdone
1538,subsistensia,sybzistɑ̃s
1539,subbensiones,sybvɑ̃sjɔ̃
1540,susesoɾ,syksɛsœʁ
1541,susesoɾes,syksɛsœʁ
1542,sukuɾsal,sykyʁsal
1543,suðoeste,syd-wɛst
1544,sufɾaxio,syfʁaʒ
1545,swisiðjo,sɥisid
1546,swisiðo,sɥiside
1547,supeɾmeɾkaðo,sypɛʁmaʁʃe
1548,supeɾmeɾkaðos,sypɛʁmaʁʃe
1549,supeɾbibjente,syʁvivɑ̃
1550,supeɾbibjentes,syʁvivɑ̃
1551,suplente,sypleɑ̃
1552,suplentes,sypleɑ̃
1553,supɾimiɾ,sypʁime
1554,surealista,syʁʁealist
1555,suskɾipsion,suskʁipsjɔ̃
1556,suspendeɾ,syspɑ̃dʁ
1557,suspendiðo,syspɑ̃dy
1558,silise,silis
1559,simbolos,sɛ̃bɔl
1560,tabako,taba
1561,tableta,tablɛt
1562,tailandes,tajlɑ̃dɛ
1563,talentos,talɑ̃
1564,taʝas,taj
1565,talon,talɔ̃
1566,tatwaxe,tatwaʒ
1567,teknoloxikas,tɛknoloʒik
1568,telekomunikasiones,telekomynikasjɔ̃
1569,telebisjones,televizjɔ̃
1570,templo,tɑ̃pl
1571,tempoɾales,tɑ̃poʁɛʁ
1572,tempoɾalmente,tɑ̃poʁɛʁəmɑ̃
1573,tensjones,tɑ̃sjɔ̃
1574,tentakulos,tɑ̃takyl
1575,teɾminales,tɛʁmino
1576,teɾminoloxia,tɛʁminoloʒi
1577,teritoɾjal,tɛʁitɔʁjal
1578,teritoɾjo,tɛʁitwaʁ
1579,teroɾismo,tɛʁoʁism
1580,teroɾista,tɛʁoʁist
1581,tesoɾos,tʁezɔʁ
1582,tekstil,tɛkstil
1583,teksto,tɛkst
1584,tekstos,tɛkst
1585,tibetana,tibetɛn
1586,tiɾano,tiʁɑ̃
1587,titulaɾes,titylɛʁ
1588,tomate,tomat
1589,toɾsjon,tɔʁsjɔ̃
1590,toɾtuɾaðo,tɔʁtyʁe
1591,tɾaktoɾ,tʁaktœʁ
1592,tɾaðisionalmente,tʁadisjonɛləmɑ̃
1593,tɾaðisiones,tʁadisjɔ̃
1594,tɾaðuktoɾ,tʁadyktœʁ
1595,tɾaxeðja,tʁaʒedi
1596,tɾampolin,tʁɑ̃plɛ̃
1597,tɾansaksiones,tʁɑ̃zaksjɔ̃
1598,tɾansat͡ɬantiko,tʁɑ̃zatlɑ̃tik
1599,tɾanskɾipsion,tʁɑ̃skʁipsjɔ̃
1600,tɾansfeɾensias,tʁɑ̃sfɛʁ
1601,tɾansfeɾiðo,tʁɑ̃sfeʁe
1602,tɾansfeɾiɾ,tʁɑ̃sfeʁe
1603,tɾansfoɾmasion,tʁɑ̃sfɔʁmasjɔ̃
1604,tɾansfoɾmaðos,tʁɑ̃sfɔʁme
1605,tɾansfoɾman,tʁɑ̃sfɔʁm
1606,tɾansision,tʁɑ̃zisjɔ̃
1607,tɾanspaɾensia,tʁɑ̃spaʁɑ̃s
1608,tɾanspoɾtaðas,tʁɑ̃spɔʁte
1609,tɾanspoɾtaðos,tʁɑ̃spɔʁte
1610,tɾanspoɾtistas,tʁɑ̃spɔʁtœʁ
1611,tɾansposision,tʁɑ̃spozisjɔ̃
1612,tɾansbeɾsal,tʁɑ̃svɛʁsal
1613,tɾauma,tʁomatism
1614,tɾabesjas,tʁavɛʁse
1615,tɾese,tʁɛz
1616,tɾibuna,tʁibyn
1617,tɾibunales,tʁibyno
1618,tɾiloxia,tʁiloʒi
1619,tɾistesa,tʁistɛs
1620,tɾopas,tʁup
1621,tɾopikal,tʁopikal
1622,tɾansito,tʁɑ̃sit
1623,tumoɾes,tymœʁ
1624,tuɾba,tuʁb
1625,tuɾbinas,tyʁbin
1626,tandem,tɑ̃dɛm
1627,tunel,tynɛl
1628,unitaɾja,ynitɛʁ
1629,unibeɾsiðað,ynivɛʁsite
1630,unibeɾsitaɾjos,ynivɛʁsitɛʁ
1631,unanime,ynanim
1632,uɾbana,yʁbɛn
1633,uɾbanas,yʁbɛn
1634,uɾbano,yʁbɛ̃
1635,uɾxensias,yʁʒɑ̃s
1636,utilisable,ytilizabl
1637,bakunas,vaksɛ̃
1638,baliðasion,validasjɔ̃
1639,baliðaɾ,valide
1640,baʝe,vale
1641,baloɾes,valœʁ
1642,baloɾisasion,valoʁizasjɔ̃
1643,bapoɾ,vapœʁ
1644,baɾjaðos,vaʁje
1645,bektoɾ,vɛktœʁ
1646,bexetales,veʒetal
1647,bendeðoɾ,vɑ̃dœʁ
1648,bendeðoɾes,vɑ̃dœʁ
1649,bendeɾ,vɑ̃dʁ
1650,bentas,vɑ̃t
1651,beɾbal,vɛʁbal
1652,beɾbo,vɛʁb
1653,beɾifikasion,veʁifikasjɔ̃
1654,beɾsjones,vɛʁsjɔ̃
1655,beɾsjon,vɛʁsjɔ̃
1656,beɾtikales,vɛʁtiko
1657,beɾtikalmente,vɛʁtikaləmɑ̃
1658,bibɾasiones,vibʁasjɔ̃
1659,biktoɾja,viktwaʁ
1660,biktoɾjas,viktwaʁ
1661,binaɣɾe,vinɛɡʁ
1662,bjolenta,vjolɑ̃t
1663,bjolentamente,vjolamɑ̃
1664,biɾal,viʁal
1665,biɾtwales,viʁtɥɛl
1666,biɾtuðes,vɛʁty
1667,biɾtwosismo,viʁtɥozite
1668,bisitante,vizitœʁ
1669,bisitantes,vizitœʁ
1670,bisitas,vizit
1671,biben,viv
1672,bibeɾo,vivje
1673,bolumen,volym
1674,boluntaɾja,volɔ̃tɛʁ
1675,boluntaɾjamente,volɔ̃tɛʁəmɑ̃
1676,bolumenes,volym
1677,botaɾ,vote
1678,bulneɾable,vylneʁabl
1679,biktima,viktim
1680,bibeɾes,vivʁ
1681,asiðos,acid
1682,albumes,albɔm
1683,aɾbitɾos,aʁbitʁ
1684,aɾiðas,aʁid
1685,atomos,atom
1686,oɾɣano,ɔʁɡan
1687,utiles,ytil
1688,poblasiones,popylasjɔ̃
1689,ɡɾamos,ɡʁam
1690,pɾibilexios,pʁivilɛʒ
1691,asosiatiba,asosjativ
1692,estɾatexia,stʁateʒi
1693,bɾasileɲa,bʁeziljɛ̃
1694,xaɾðin,ʒaʁdɛ̃
1695,bokabulaɾjo,vokabylɛʁ
1696,floɾasion,floʁɛzɔ̃
1697,pintuɾa,pɛ̃tyʁ
1698,aksiðente,aksidɑ̃
1699,bektoɾes,vɛktœʁ
1700,ɡastɾonomika,ɡastʁonomik
1701,poɾsentaxe,puʁsɑ̃taʒ
1702,foɾtunas,fɔʁtyn
1703,difeɾensias,difeʁɑ̃s
1704,lektuɾa,lɛktyʁ
1705,atmosfeɾika,atmɔsfeʁik
1706,kondekoɾasiones,dekoʁasjɔ̃
1707,diksionaɾjo,diksjonɛʁ
1708,ekssesiba,ɛksɛsiv
1709,natuɾales,natyʁɛl
1710,paɾaiso,paʁadi
1711,aðbeɾsaɾjo,advɛʁsɛʁ
1712,aɾkitekto,aʁʃitɛkt
1713,floɾines,floʁɛ̃
1714,ɾokas,ʁoʃe
1715,delibeɾaðamente,delibeʁemɑ̃
1716,motibasiones,motivasjɔ̃
1717,kantantes,ʃɑ̃tœʁ
1718,neɣosiasiones,neɡosjasjɔ̃
1719,limitaða,limite
1720,festibales,fɛstival
1721,espektaðoɾ,spɛktatœʁ
1722,defensoɾes,defɑ̃sœʁ
1723,diskuɾso,diskuʁ
1724,ɾeaksiones,ʁeaksjɔ̃
1725,ɡɾanos,ɡʁɛ̃
1726,bakteɾjas,bakteʁi
1727,bainiʝa,vanij
1728,asistente,asistɑ̃
1729,bjolensia,vjolɑ̃s
1730,konstelasion,kɔ̃stɛlasjɔ̃
1731,kontekstos,kɔ̃tɛkst
1732,auɣwsto,oɡyst
1733,kaɾabanas,kaʁavan
1734,konteniðo,kɔ̃təny
1735,blokeaða,bloke
1736,kalendaɾjo,kalɑ̃dʁije
1737,planifikaða,planifje
1738,maɾjonetas,maʁjonɛt
1739,enemiɣos,ɛnəmi
1740,nabal,naval
1741,kanaðjense,kanadjɛ̃
1742,aɾina,faʁin
1743,montaɲa,mɔ̃taɲ
1744,abstɾaksion,abstʁaksjɔ̃
1745,bjolentas,vjolɑ̃t
1746,opeɾatibos,opeʁasjonɛl
1747,inkapas,ɛ̃kapabl
1748,apokalipsis,apokalips
1749,koɾeano,koʁeɛ̃
1750,deskɾitas,dekʁit
1751,buɾɣesa,buʁʒwaz
1752,ebanxelikas,evɑ̃ʒelik
1753,nubes,nɥaʒ
1754,kabinas,kabin
1755,auðjobiswal,odjovizɥɛl
1756,diɾektas,diʁɛkt
1757,astɾonomo,astʁonɔm
1758,pjoneɾo,pjonje
1759,kultuɾas,kyltyʁ
1760,musulmana,myzylman
1761,kontempoɾanea,kɔ̃tɑ̃poʁɛn
1762,aɾkitektuɾas,aʁʃitɛktyʁ
1763,litɾos,litʁ
1764,pɾofunda,profɔ̃d
1765,ɾekoɾð,ʁəkɔʁ
1766,dinamismo,dinamism
1767,bibiɾ,vivʁ
1768,ʃeɾiff,ʃeʁif
1769,bitaminas,vitamin
1770,depoɾtiba,spɔʁtiv
1771,pɾoteksiones,protɛksjɔ̃
1772,ɾestɾiksion,ʁɛstʁiksjɔ̃
1773,konfɾontasion,kɔ̃fʁɔ̃tasjɔ̃
1774,filjal,filjal
1775,assensoɾes,asɑ̃sœʁ
1776,inspiɾaðo,ɛ̃spiʁe
1777,aɾmenjo,aʁmenjɛ̃
1778,ɾepɾoðuksion,ʁəprodyksjɔ̃
1779,sosioloɣo,sosjolɔɡ
1780,feðeɾales,fedeʁal
1781,indonesjo,ɛ̃donezjɛ̃
1782,kolina,kolin
1783,kɾeðibiliðað,kʁedibilite
1784,fɾaktuɾa,fʁaktyʁ
1785,inbentoɾ,ɛ̃vɑ̃tœʁ
1786,ɾebolbeɾ,ʁevɔlvɛʁ
1787,asosiasiones,asosjasjɔ̃
1788,ɾeðuksion,ʁedyksjɔ̃
1789,peɾðiðo,pɛʁdy
1790,finansiaɾ,finɑ̃se
1791,uɾbanos,yʁbɛ̃
1792,aseptaðo,aksɛpte
1793,uɾnas,yʁn
1794,mjembɾo,mɑ̃bʁ
1795,funsionaɾjos,fɔ̃ksjonɛʁ
1796,dependen,depɑ̃dɑ̃
1797,kalifoɾnjano,kalifɔʁnjɛ̃
1798,leusemja,lœsemi
1799,esensiales,ɛsɑ̃sjɛl
1800,inxenjeɾo,ɛ̃ʒenjœʁ
1801,pjeɾðen,pɛʁdɑ̃
1802,motibasion,motivasjɔ̃
1803,omenaxes,omaʒ
1804,toɾnaðo,tɔʁnad
1805,musulmanes,myzylmɑ̃
1806,estɾatexika,stʁateʒik
1807,bjenes,bjɛ̃
1808,pɾoklamaða,proklame
1809,kɾiteɾjos,kʁitɛʁ
1810,bolante,volɑ̃
1811,desblokeaɾ,debloke
1812,kaldeɾo,ʃodʁɔ̃
1813,ofisial,ofisjɛl
1814,xeswita,ʒezɥit
1815,koreksion,koʁɛksjɔ̃
1816,konsexos,kɔ̃sɛj
1817,pɾesisjon,pʁesizjɔ̃
1818,iɾonja,iʁoni
1819,kolaboɾaðoɾes,kolaboʁatœʁ
1820,bisita,vizit
1821,mensaxeɾo,mɛsaʒe
1822,komplises,kɔ̃plis
1823,fɾansiskano,fʁɑ̃siskɛ̃
1824,aɾtesanos,aʁtisɑ̃
1825,seɾebɾales,seʁebʁal
1826,sosialistas,sosjalist
1827,animales,animo
1828,moðulasion,modylasjɔ̃
1829,italjana,italjɛn
1830,ɾealistas,ʁealist
1831,pɾusjano,pʁysjɛ̃
1832,kubanos,kybɛ̃
1833,sopoɾtaɾ,sypɔʁte
1834,industɾjal,ɛ̃dystʁijɛl
1835,konkistaða,kɔ̃kiz
1836,xuɾistas,ʒyʁist
1837,soliðaɾja,solidɛʁ
1838,eteɾoxenea,eteʁoʒɛn
1839,neɣosiasion,neɡosjasjɔ̃
1840,fassistas,faʃist
1841,fɾanko,fʁɑ̃
1842,oɾbita,ɔʁbit
1843,iðentifikaða,idɑ̃tifje
1844,baloɾ,valœʁ
1845,neumonja,pnœmoni
1846,peɾtuɾbasiones,pɛʁtyʁbasjɔ̃
1847,ɾestablesimjento,ʁetablisəmɑ̃
1848,ɡastɾonomja,ɡastʁonomi
1849,pɾesjones,pʁɛsjɔ̃
1850,estetika,ɛstetik
1851,ɾekonsiljasion,ʁekɔ̃siljasjɔ̃
1852,konkistaðo,kɔ̃ki
1853,konfiɾmaða,kɔ̃fiʁme
1854,auspisios,ospis
1855,tɾafikantes,tʁafikɑ̃
1856,komplemento,kɔ̃plemɑ̃
1857,sustansias,sybstɑ̃s
1858,estetikas,ɛstetik
1859,pensjones,pɑ̃sjɔ̃
1860,dibeɾsiðað,divɛʁsite
1861,miɣɾasion,miɡʁasjɔ̃
1862,konfiɾmasion,kɔ̃fiʁmasjɔ̃
1863,kontɾolaðas,kɔ̃tʁole
1864,xeswitas,ʒezɥit
1865,tɾanspoɾtaða,tʁɑ̃spɔʁte
1866,doktɾinas,dɔktʁin
1867,neutɾal,nœtʁ
1868,estables,stabl
1869,pintuɾas,pɛ̃tyʁ
1870,baleɾ,valwaʁ
1871,benɣaɾse,vɑ̃ʒe
1872,konklusjones,kɔ̃klyzjɔ̃
1873,pɾisjoneɾos,pʁizonje
1874,konbensiðos,kɔ̃vɛ̃ky
1875,ɾekonstɾuksion,ʁəkɔ̃stʁyksjɔ̃
1876,ɾefuxiaðos,ʁefyʒje
1877,intelektwales,ɛ̃tɛlɛktɥɛl
1878,aktoɾes,aktœʁ
1879,ɡaɾantja,ɡaʁɑ̃ti
1880,funsiona,fɔ̃ksjɔn
1881,pɾestixio,pʁɛstiʒ
1882,kaɾakteɾes,kaʁaktɛʁ
1883,emisjones,emisjɔ̃
1884,konsesjones,kɔ̃sɛsjɔ̃
1885,konsulaɾes,kɔ̃sylɛʁ
1886,ɾepoɾtaxes,ʁəpɔʁtaʒ
1887,koɾta,kuʁt
1888,komeɾsialisasion,komɛʁsjalizasjɔ̃
1889,tɾansitoɾjo,tʁɑ̃sitwaʁ
1890,bibljotekas,biblijotɛk
1891,sifɾas,ʃifʁ
1892,manifestantes,manifɛstɑ̃
1893,espiɾitwaliðað,spiʁitɥalite
1894,impeɾjal,ɛ̃peʁjal
1895,eksiljaðos,ɛgzile
1896,pɾensa,pʁɛs
1897,tɾaðisionales,tʁadisjonɛl
1898,meɾkante,maʁʃɑ̃d
1899,defensa,defɑ̃s
1900,esklaba,ɛsklav
1901,karoseɾja,kaʁɔsəʁi
1902,baɾbaɾa,baʁbaʁ
1903,fantastikas,fɑ̃tastik
1904,fibɾa,fibʁ
1905,koɾonel,kolonɛl
1906,ɾebisjon,ʁevizjɔ̃
1907,seɾbisios,sɛʁvis
1908,ɾebestimjentos,ʁəvɛtəmɑ̃
1909,inteɣɾaɾ,ɛ̃teɡʁe
1910,bulneɾables,vylneʁabl
1911,konsiðeɾaðos,kɔ̃sideʁe
1912,konbensionales,kɔ̃vɑ̃sjonɛl
1913,multiplikaɾ,myltiplije
1914,espontanea,spɔ̃tane
1915,distinsion,distɛ̃ksjɔ̃
1916,solemne,solanɛl
1917,bukle,bukl
1918,ɡɾipe,ɡʁip
1919,ɾomano,ʁomɛ̃
1920,monstɾwos,mɔ̃stʁ
1921,aksiones,aksjɔ̃
1922,pɾesentasion,pʁezɑ̃tasjɔ̃
1923,fundasiones,fɔ̃dasjɔ̃
1924,tubeɾkulosis,tybɛʁkyloz
1925,ɾestauɾante,ʁɛstoʁɑ̃
1926,salbaxe,sovaʒ
1927,polibalente,polivalɑ̃t
1928,paɾaðoxa,paʁadɔks
1929,opeɾas,opeʁa
1930,kaðabeɾes,kadavʁ
1931,masibos,masif
1932,poɾtwaɾja,pɔʁtɥɛʁ
1933,peninsula,penɛ̃syl
1934,motibaðo,motive
1935,ɾibaliðað,ʁivalite
1936,moɾtaliðað,mɔʁtalite
1937,abentuɾas,avɑ̃tyʁ
1938,djaspoɾa,djaspoʁa
1939,tɾipaɾtita,tʁipaʁtit
1940,obstakulos,ɔbstakl
1941,seɾbjas,sɛʁb
1942,teatɾales,teatʁal
1943,iðentifikando,idɑ̃tifjɑ̃
1944,axensia,aʒɑ̃s
1945,ɾepɾesentatibas,ʁəpʁesɑ̃tativ
1946,selulosa,sɛlyloz
1947,kwateɾnaɾjo,kwatɛʁnɛʁ
1948,disposisiones,dispozisjɔ̃
1949,konfeɾensia,kɔ̃feʁɑ̃s
1950,elektɾomaɣnetikos,elɛktʁomaɲetik
1951,pɾoðusiɾ,prodɥiʁ
1952,instalaða,ɛ̃stale
1953,eksplosjones,ɛksplozjɔ̃
1954,konbenseɾ,kɔ̃vɛ̃kʁ
1955,dekoɾatibo,dekoʁatif
1956,dokumentos,dokymɑ̃
1957,tuɾismo,tuʁism
1958,insieɾta,ɛ̃sɛʁtɛn
1959,obliɣatoɾjas,obliɡatwaʁ
1960,ɾesesjon,ʁesɛsjɔ̃
1961,lentituð,lɑ̃tœʁ
1962,desmembɾamjento,demɑ̃bʁəmɑ̃
1963,pjeðɾas,pjɛʁ
1964,kontabiliðað,kɔ̃tabilite
1965,kontinentales,kɔ̃tinɑ̃to
1966,bitikultuɾa,vitikyltyʁ
1967,pɾobablemente,probabləmɑ̃
1968,intima,ɛ̃tim
1969,kataloɣos,katalɔɡ
1970,esloɣanes,sloɡɑ̃
1971,tjempo,tɑ̃
1972,eslaba,slav
1973,desjeɾtos,dezɛʁ
1974,suðeste,syd-ɛst
1975,deɣɾaðasion,deɡʁadasjɔ̃
1976,suspensjon,syspɑ̃sjɔ̃
1977,bisjon,vizjɔ̃
1978,familjas,famij
1979,militaɾ,militɛʁ
1980,moðulo,modyl
1981,koɾonas,kuʁɔn
1982,kljente,klijɑ̃
1983,iðeal,ideal
1984,ɾepɾesentaðo,ʁəpʁezɑ̃te
1985,susesibos,syksɛsif
1986,depoɾtibas,spɔʁtiv
1987,pɾofundas,profɔ̃d
1988,kabeɾna,kavɛʁn
1989,paɾtikulaɾiðaðes,paʁtikylaʁite
1990,lenɣwa,lɑ̃ɡ
1991,ɾepaɾasion,ʁepaʁasjɔ̃
1992,konseɾtasion,kɔ̃sɛʁtasjɔ̃
1993,konmemoɾasion,komemoʁasjɔ̃
1994,teroɾ,tɛʁœʁ
1995,bokasiones,vokasjɔ̃
1996,moðeɾnisasion,modɛʁnizasjɔ̃
1997,toɾtuɣas,tɔʁty
1998,litixios,litiʒ
1999,indjas,ɛ̃djɛn
2000,manuskɾita,manyskʁit
2001,kontinwiðað,kɔ̃tinɥite
2002,patɾuʝas,patʁuj
2003,minoɾjas,minoʁite
2004,afɾikanos,afʁikɛ̃
2005,doktɾina,dɔktʁin
2006,korelasion,koʁelasjɔ̃
2007,palestino,palɛstinjɛ̃
2008,efektos,efɛ
2009,fɾaxil,fʁaʒil
2010,djaloɣos,djalɔɡ
2011,funeɾal,fyneʁaj
2012,multiðissiplinaɾ,plyʁidisiplinɛʁ
2013,peɾmiten,pɛʁmɛt
2014,sibilisasiones,sivilizasjɔ̃
2015,imaxinaɾja,imaʒinɛʁ
2016,oɾisontales,oʁizɔ̃to
2017,ineðitos,inedi
2018,ɾeðaktoɾes,ʁedaktœʁ
2019,molde,mul
2020,pɾomotoɾ,pʁomotœʁ
2021,fisjon,fisjɔ̃
2022,defensiba,defɑ̃siv
2023,kolokjo,kolɔk
2024,ɡɾandesa,ɡʁɑ̃dœʁ
2025,bɾutalmente,bʁytaləmɑ̃
2026,sobeɾano,suvəʁɛ̃
2027,siɾenas,siʁɛn
2028,xusɣaɾ,ʒyʒe
2029,pɾoblematikas,problematik
2030,kɾisis,kʁiz
2031,ɾefleksjones,ʁeflɛksjɔ̃
2032,pɾesiðiɾ,pʁezide
2033,kontinxentes,kɔ̃tɛ̃ʒɑ̃
2034,pɾebeniɾ,pʁevəniʁ
2035,xenetikamente,ʒenetikəmɑ̃
2036,ɾefoɾma,ʁefɔʁm
2037,psikoloxia,psikoloʒi
2038,afɾikanas,afʁikɛn
2039,kanaðjenses,kanadjɛ̃
2040,intɾinseka,ɛ̃tʁɛ̃sɛk
2041,petɾoleɾos,petʁolje
2042,t͡ʃokolate,ʃokola
2043,multiples,myltipl
2044,ofensiba,ofɑ̃siv
2045,ɾweðas,ʁu
2046,aspiɾasiones,aspiʁasjɔ̃
2047,mekanismo,mekanism
2048,kanalisasion,kanalizasjɔ̃
2049,inteɾnasional,ɛ̃tɛʁnasjonal
2050,iðentifikaðas,idɑ̃tifje
2051,koloɾ,kulœʁ
2052,bɾasileɲos,bʁeziljɛ̃
2053,instɾuksiones,ɛ̃stʁyksjɔ̃
2054,simplifikaɾ,sɛ̃plifje
2055,kontinxente,kɔ̃tɛ̃ʒɑ̃
2056,wmanas,ymɛn
2057,disposision,dispozisjɔ̃
2058,euɾopeos,œʁopeɛ̃
2059,seɾemonja,seʁemoni
2060,konsentɾaðo,kɔ̃sɑ̃tʁe
2061,definiðos,defini
2062,indiɾektamente,ɛ̃diʁɛktəmɑ̃
2063,anɣwlaɾ,ɑ̃ɡylɛʁ
2064,munisipjos,mynicipalite
2065,moðeɾnisaðo,modɛʁnize
2066,peɾspektibas,pɛʁspɛktiv
2067,disiembɾe,desɑ̃bʁ
2068,inteɾbalos,ɛ̃tɛʁval
2069,libeɾalismo,libeʁalism
2070,libeɾasion,libeʁasjɔ̃
2071,pɾeliminaɾes,pʁeliminɛʁ
2072,soldaðo,sɔlda
2073,difisilmente,difisiləmɑ̃
2074,talibanes,talibɑ̃
2075,dissipulos,disipl
2076,lisensias,lisɑ̃s
2077,simplemente,sɛ̃pləmɑ̃
2078,sosioloxikas,sosjoloʒik
2079,simbolo,sɛ̃bɔl
2080,monasteɾjo,monastɛʁ
2081,matɾis,matʁis
2082,ɾitwal,ʁitɥɛl
2083,paɾakaiðistas,paʁaʃytist
2084,defendeɾ,defɑ̃dʁ
2085,exemplaɾ,əgzɑ̃plɛʁ
2086,faboɾeseɾ,favoʁize
2087,kooɾðinaðoɾ,koɔʁdinatœʁ
2088,dilema,dilɛm
2089,konklusjon,kɔ̃klyzjɔ̃
2090,obliɣatoɾjamente,obliɡatwaʁəmɑ̃
2091,eskandalos,skɑ̃dal
2092,kaɾɣeɾo,kaʁɡo
2093,ɾeklutaɾ,ʁəkʁyte
2094,obstakulo,ɔbstakl
2095,estable,stabl
2096,moɾiɾa,muʁʁa
2097,sitwasion,sitɥasjɔ̃
2098,populaɾiðað,popylaʁite
2099,xenoma,ʒenom
2100,emboskaða,ɑ̃byskad
2101,mutwamente,mytɥɛləmɑ̃
2102,pɾostitutas,prostitɥe
2103,loteɾja,lɔtəʁi
2104,konfeɾensias,kɔ̃feʁɑ̃s
2105,tɾanspoɾtaðo,tʁɑ̃spɔʁte
2106,instɾumentos,ɛ̃stʁymɑ̃
2107,poɾtwaɾjas,pɔʁtɥɛʁ
2108,feðeɾalismo,fedeʁalism
2109,desakweɾðos,dezakɔʁ
2110,bjolasion,vjolasjɔ̃
2111,pɾofesoɾ,profɛsœʁ
2112,dispeɾsaɾ,dispɛʁse
2113,bataʝones,batajɔ̃
2114,seðimentos,sedimɑ̃
2115,nataliðað,natalite
2116,dimisjon,demisjɔ̃
2117,emosiones,emosjɔ̃
2118,ɾespektibas,ʁɛspɛktiv
2119,aljansas,aljɑ̃s
2120,fumaɾ,fyme
2121,konbeɾsjones,kɔ̃vɛʁsjɔ̃
2122,inbentaɾjo,ɛ̃vɑ̃tɛʁ
2123,konboies,kɔ̃vwa
2124,impoɾtaðos,ɛ̃pɔʁte
2125,estɾateɣa,stʁatɛʒ
2126,insuɾxentes,ɛ̃syʁʒe
2127,oɾmiɣas,fuʁmi
2128,paɾtituɾas,paʁtisjɔ̃
2129,dolaɾes,dolaʁ
2130,bokseaðoɾ,bɔksœʁ
2131,definitiba,definitiv
2132,kanseɾ,kɑ̃sɛʁ
2133,t͡ʃantaxe,ʃɑ̃taʒ
2134,fɾases,fʁaz
2135,kopjaɾ,kopje
2136,efikas,ɛfikas
2137,kultibaðas,kyltive
2138,bjolento,vjolɑ̃
